uid,whisper_transcripts,gt_transcripts
2b8eb263-476c-4fea-bc71-b27e08dc4a77," No. I like, I like how it's not being defended. Yeah, shut up! What is that?"," no i like i like myself being defensive what is that 
"
6673c672-4891-46e8-82ae-bb168f073db3," That's it, shut up!"," shut up 
"
d55fad2a-1ec0-4529-8dac-48a6203cbcf9, Do not...," two 
"
66cfd7a0-4de8-47e0-95c8-749714e1279b, Enough. You guys are gonna put it down. Oh my god.," no she put it down she 
"
44d5e91e-6fba-4664-bca0-1bbbdc3230c3, Two queens.," two queens 
"
99c6202a-659a-44e9-91d2-4bad30463459," I was like, oh, no. I knew it. I was like, no. I was like, oh."," bullshit i knew it 
"
93b1f62b-76d2-4495-8951-24cc1cf78085, Mm-hmm. Mm-hmm. I'm not calling that shit. You want to call that shit?," mm-hmm mhm i'm not calling that shit you want to call that shit 
"
6d596bb4-0165-412f-93a8-2670e42690b6," I didn't hear what he said, so I had to hear. One, two."," i didn't hear what he said so i had to hear one two 
"
f60d473e-3bc7-4fbc-a7f2-1060cc84094f," He said, please? He said, please"," hm he said threes he said three 
"
f8c98d79-aea6-43b2-a997-4e91b4c6a3ee, turns I didn't think that's gonna be taped So," take two of these fours 
"
78a47dfa-c168-42b4-a911-1dd898541aae, Call it if you want call it. Call it. Two lives.," two call it if you want call it call it 
"
285c9234-0ffd-4522-a70f-bf8c093c35a6,plus Mine," two fives 
"
328a3c27-470b-4b4a-af85-01784e8ffe89," Okay. Two. Two. No, you got it."," how many two nah you got it 
"
0dec8567-af34-4a83-845d-20607e5c92d4, too.," two 
"
ce2ce56e-c0d8-4064-8271-4df349b21683, Thanks for watching!," six 
"
bcf843cd-2184-43f6-b2b3-fc49482c8cb7, Three Eights.," three eight 
"
8ead4d01-e261-4497-b002-cf5e90f060e3,umann perform," three eight one nine 
"
3c9e92ac-2c26-41b0-9799-e297d7fc6e5c," Thank you, bye."," i'll help you by one 
"
41ef1b85-5249-4582-8891-02f3d95f49db, You're welcome. Demons!," three tens 
"
3d4d6cc0-4765-416c-aef9-bd107d6baa38, I have a report on it.," are you gonna call it 
"
38789f2e-665b-4ee7-b834-f43c11baadd3, Two Jacks.," two jacks 
"
aaf4e8f6-15ef-4305-a9c9-7e9c86a5ba90, Keep saying.," two queens 
"
ea1915ef-e561-4d91-97f3-7077f5fd61da,or things.," kings 
"
f517ba42-0560-49a1-9737-06776a4bf9f4, Th beenroprietic.," two aces 
"
39cff9f3-5721-4b62-b1c1-1a8cc234e634," I really want to talk more to you, older."," i wanna really really want to call bullshit on that 
"
38545623-1118-49a1-9e9a-87c54905e781, So cool!," call it 
"
9e307088-afd3-4888-b3fe-c3d7a4044ab2, Apple eh?," i can wait 
"
66544f02-e406-462e-a5a5-24b010bf8f27, not cooking but a lot of the work," now cuz she's laughing now i can't do it 
"
fe427d67-9d2a-4e48-a5a5-be1af3fb5d45, I'm just thinking of how many cards I would have.," i'm just thinking of how many cards i would have 
"
dd596cc7-b961-49dd-9078-4475b4fba7a5, Don't shoot him!," oh bullshit 
"
f0e3b304-36e6-461f-b448-a7b08b17fff4, Never reveal to the opponent.," never reveal to the opponent 
"
7322740a-6239-4724-b944-925d682332a8, Don't be afraid," damn she played me 
"
ec4fd0d4-1cea-4aeb-8380-02b92910502a, bullshit.," bullshit 
"
d8761219-1afd-458f-a532-b1ce9c12644e," Take that shit out, bro."," take that shit up bro 
"
44c60428-6a17-4726-aea0-99506016c30d, First.," uh 
"
f3afcb05-e7b3-440a-a681-de3ab4134e39, three two all of us all right all right all right well guess what," you said three oh i thought alright alright alright well guess what 
"
782e6a8b-a915-4bfc-9808-8ff568c29d83," Three, two."," three twos 
"
36b3b3b5-5d74-406b-b9a6-a6cd805c6b62, Now very else I should," y'all better not y'all better not say shit 
"
cfcfc0f5-a117-4e27-a53c-6d268e3fec9e," Hold on, just kidding me, one second."," hold on just give me one second 
"
816104b1-f175-4af0-b128-4b490a5aa2e5, Thank you.," order 
"
c79da646-49f7-4de1-9edd-3ba87b5680ff, Why was I not feeling wall shitting?," damn damn why would someone feel bullshitted 
"
36a457d6-3a21-4ebe-823b-cc6ea4e15431," Oh, no, look, I'm not going to go for the movie. I'll put that with some trees. It's not going to lead to it."," aight man look this is all i got for y'all all i got is two threes take it or leave it alright 
"
1b06943e-ec92-4b94-971d-0b23f36da962," One four. Oh, oh."," one four 
"
d44bd156-3aab-43a3-ae6b-0b019f33a6dd, Always on the end.," oh no oh no give me give me one second 
"
ccc9b484-02b3-471a-9f83-363e1a3eaec1, Don't even build with it," or you're just 
"
b9518d39-eb00-4bad-be70-535ac9fca2f4,," okay 
"
3bce559d-f64c-4bde-b003-dc028b9bbb62, But I'm not good people. That's my boy.," i'm about to go 
"
aca05882-5408-40b3-be32-20068a8c7567, How are you gonna eat it?," alright you got it you got it 
"
73286c5a-76d6-45d0-9a25-60a61279f074, one five.," one five 
"
069316f2-2998-42d3-a790-1450dffd2421, You know what?," you know what 
"
ac904bc9-c90e-4ee0-9c4d-711799604c44, brother," you got it 
"
9ff00c07-3277-41cf-9602-666e60af72a2," Then what you want, you wanna call it?"," okay i was about to say what you want you wanna call it 
"
7df777a9-29fe-4678-b157-967427137262, You know I call this two-sister," no you gonna call this two sixes 
"
23612dd3-45d1-415f-acfb-5b796e67633b," Once on a minute, we will take care of you. Great work now."," one seven 
"
151c5df2-7d6b-4b21-80d9-0682e982d7a8, Bye.," uh bullshit 
"
95c83000-94bd-40f1-b1ef-7ee3cebd9733, Good struggling," you got to take all 
"
359349c0-04de-4c81-81e1-3e50e1b1e86b, one a," one eight 
"
b9cb960d-ab74-435f-bce7-f3c1851b6768, Mollres de sight.," imma let that be 
"
2efc72ee-3777-4dcb-a3c4-d388e84c895b, If I were a guy that we saw in the video.," imma let that one be 
"
62add494-0276-48e4-a308-65b8dde8badb, Wanton.," one ten 
"
5ce954ac-b56b-4ef6-876c-81309d5c0db5, Yep.," yeah
"
aece9f44-deb1-4a3c-a348-97dfb592fa11, I'm Jack.," one jack 
"
9df24cc9-afbc-4762-a449-7c25455fbdea, Bullshit.," bullshit 
"
0ee09374-a993-4edd-bc59-2a09f27bd970, Thank you. He has all the jacks. I'm upset.," thank you he has all the jacks i'm upset 
"
cccdbae8-a25c-42e7-a35e-4a65264127a8," Wonderful, right?"," wonderful right 
"
94a90088-4ddf-4e44-9010-8f58edf8b8c1, now.," no 
"
844cc2ac-67e5-451f-88f2-f046fdca98d6, I'm picking my most before it's-," i pick up my bullshit before ten 
"
c5a44f0d-6c11-4e6a-834f-d97061055f10," Yeah, I know right?"," yeah i know right 
"
51866b5f-cda0-43c7-b386-163264d4da02, Then get out of school!," i got two 
"
da76e385-614a-4831-87fd-5c73d886d8bd," Risking our award. Oh, that's what we're getting."," risk and reward it's just a game 
"
83645ad2-7185-4117-badf-3a4a487f806b, I'm just forgetting.," only got terrible 
"
50938d74-e2dd-4fd1-9ff6-86a17e8368a5, one take," one king 
"
7f319618-c485-4f14-9671-04db383318f9, Do I assist?," two aces 
"
77f93abe-c346-4354-a84f-aa2b6cd2f441, all day or full day.," call it or fold it 
"
60cc2ba1-e15d-47f7-8229-8304ecddc987, Turn on your keys. Need to get an Sarukiuptoos gift. Thank you!," you said one king i just want to make sure 
"
9759fa9f-b94a-45b9-8bf4-59445f352001, It was already passed.," it's already passed 
"
bd584937-7b29-4900-af9b-46b3aa0a3c5e, Mark the other way through.," i just i just wanna make sure 
"
a4ec7cfd-4a8b-427f-b233-2a98edf35990, In part two those," ah two two two twos 
"
e1fb21dc-cdeb-4ab3-9353-c54a184e6ce6," One, three."," one three 
"
554bd5a3-996f-474c-9232-e4377fd3e430," Oh, no, Peter."," hmm bullshit 
"
a9da19e1-bfe7-40d7-a31b-b7478c75d7b5, Take it out!," pick it up 
"
abd9f473-4c68-48e0-878e-59e24e532153," Pick it up, pick it up!"," pick it up pick it up 
"
6e11b283-9cf1-4755-9ddd-11aed680240e," passerby pocket would say this employees that's available to the seventh company, pushing"," bullshit 
"
66e1cd17-90ed-4e5b-a105-2079d68430ca, R Hard Focus," two fours 
"
533f82c9-758e-420f-87be-e8beb4434f22, Damn it!," bullshit put it back damn it 
"
4ae65aa9-8e4a-4cc5-8336-0c41f73b63b5, Thank you," alright i'll take it alright 
"
e3a2e3db-15ea-43d3-8e63-d242a4debf61," Okay, right? Okay."," okay alright alright okay 
"
ae5ce769-a8fa-48c8-9174-744c8bac892b, Go for it.," okay 
"
d231de61-e59e-45c7-810a-f02ee22a0235, He has a majority of the back. I'm fat.," here's the majority of the deck i'm fucked 
"
d93d6d30-9b99-48e6-98af-c8831c48a9b3, It's been two five," two five 
"
8be62f53-f5c0-4996-982d-d5b36010e1db, Three sixes.," three sixes 
"
03be12da-142c-4947-83cf-d53e6071a142," Hold on, let's see."," hold on let's see 
"
42f330fc-256c-40f2-b9c9-b35de0f31f70," Oh, let's see."," hold on let's see 
"
98b299be-2891-4bc7-9a4b-66d56e47acf6," Come on, let's see."," ah okay 
"
542da7d2-fcbc-429c-aba8-a15293a524ce," Well, should we thank you? Let's take one second, waltz."," bullshit just take it just take just take it bullshit 
"
7e8aaddc-4d5b-4cb8-80e6-34738dc151b3, I didn't put anything down yet.," i didn't put anything down yet 
"
17e7b726-b33e-4102-a2e5-60beeb8ef358, You must find me self as king of Nicol!," you be that why i'm calling bullshit on you 
"
64bd10b4-a0db-4d42-a7b9-8540d22026be," Yes, I did."," yes uncle serve it 
"
0340f88b-9ac9-4520-ba40-ad7de3c7a8cf," Yeah, oh yeah, that leaves."," yeah oh yeah oh yeah best believe 
"
be0396fa-9821-43d1-947c-96de4980b7cf, What?," one what 
"
f87bd5fb-4446-4bfe-9a51-30698ee11f05, one nine," one nine 
"
aa3928a1-a5b9-4105-848c-ee1ebf3f68eb, Magicoff already?," your ass 
"
6444fb9a-542f-42c8-a6d7-7263d9424a73, a lot of just," you're on the case 
"
a18ec653-d193-4ab3-9471-d25065a71c78, She's out of cards.," she's out of card 
"
589538c1-5778-429b-a42d-e33f979a0720, You want to know something? I wanted to call that one.," you want to know something you want to know something it aight even a nine 
"
71a14ee0-2bd4-4b1f-a339-2fe82b85f6f9," I wanted to call that a vosme. And I was like, I'm not for sure."," i wanted to call that bullshit and i was like i'm not for sure 
"
fcee333a-397e-40a6-9a58-c965d8063cd0, I want to play mahjong.," i want to play mahjong 
"
4942cdbc-70c5-4a2e-ba9a-f0f4d819e27d, I'm hungry but I'm not that bad...," you don't want to play mahjong 
"
80153a7c-523e-4563-806f-191c90cbc6eb, I wanna play my genre.," i want to play mahjong 
"
214171da-d52f-46ac-b182-30fbbb925697, Remember the the the," remember the the the movie 
"
a4a2596f-6ef2-4f89-aae8-9a610d626ebe," Can you get that brown case for me, baby?"," can you get that brown case for me there 
"
997f767e-b661-48ef-8da8-ae2f626cf890, We lot of play marks on.," are we allowed to play mahjong 
"
bbb6f1b9-4abc-435f-a6d7-1cd445a612a5, What does look at the tiles look fine?," we'll just look at the tiles it's fine 
"
74aa80f9-1c82-4454-a427-bc6ab9e6c7b7, You don't know what I'm talking about.," you don't know what i'm talking about 
"
b0ee0264-e20e-4157-adad-13f693f5b839," The brown case down there, it's heavy."," the brown case down there it's heavy 
"
117e4aba-59fd-4a91-9d25-c2739eb8fa7e," Oh, wonderful view."," oh wonderful view 
"
c5a1797f-e7f8-41f5-9275-39a65d99c15d, Wonderful view.," oh oh oh oh god oh dear god 
"
2efe5d27-2cf8-4808-9611-53eb411c2e0c, Oh," dear god i got that on camera 
"
77a921b7-6b36-4ebe-95d2-023f8cdcdd34, I also like a ton.," now it seems like it's hot hm 
"
63391d5c-dc64-426a-82b5-7814bffa0a0f, about that," i was about to fall backwards i was like 
"
b00b28ff-c9fc-4ed5-8207-1c72e65806cc," It's like no. When it's cold, when it's cold, it's very, very loud. I'll get like a pile."," when the cribs when the cribs when the kids in the crib drop it like it's hot 
"
368fa371-e9c3-45d8-97b0-bbd67df21800, and I hope you missed.," how open this 
"
ac0a4321-c19c-481f-8f44-009b07495cb8, She did a pretty much on case.," she open the mahjong case 
"
ac79b44f-ad1e-4909-823e-37f89fafc68c, Oh.," oh 
"
5d37b76d-881c-484d-88be-11ce9d8e3154, upside down!," yo it's upside down jesus christ 
"
5ca6d220-5ff9-4995-8260-02dd2467b8ef,," hold on for it 
"
a5304c75-c6c3-4688-b6e5-8cdf850516d2," It's brand new, I haven't even opened."," it's brand new i haven't even opened 
"
5ff61d47-8d8a-45ba-86b4-df54aac82cfa," Hello, where's our blower?"," well there goes that 
"
d5641850-82d5-41b2-b182-020f4c71ad61, They're going deaf.," there goes that 
"
63edbd65-f63a-4a42-b405-71dcad267407, I now have opened it. I love the feeling of these and the sound.," well i now have opened it i love the feeling of this and the sound 
"
9cb902df-45de-4918-b6b7-093689f4fe42, I don't just blame on you. I love...," how do we even play mahjong 
"
16e3a73a-4ca9-4dd7-80cc-c00400c563b0," I think if I end up turning up fucking hard, okay."," fucking playing mahjong 
"
9a372afb-59c8-42a8-8ed0-f109a9964746," Oh wow, they're fake just like the video guy."," oh wow they're big just like the the video game 
"
cdffe101-7350-4f7f-9130-0016271e82b2, I know too.," i know 
"
b01439ce-0722-40a7-aa42-c5c35129ccaa, We need to sit at an actual table.," we need to sit at an actual table 
"
3502e858-3fbe-4e78-8bd5-b8831100a7f8, There's the table.," there's a table over there 
"
5788c210-82e1-4c4f-bae4-e4ebfc098bb1, YOU FUCKING RO stole some of my damn stuff," are you are you sure you're supposed to match these 
"
70d3443e-b82b-44e8-a7de-c7e4ddb33405, Mm-hmm. It's supposed to get doubles.," mhm and so you it supposes to like you're supposed to get doubles 
"
c7f86ecd-6e95-4b86-8ae6-25158b683f52, like five doubles and then a triple or something like that. And these have their numbers on them so we know what numbers what since we're not Chinese.," like five doubles and then a triple or something like that and these have their number on them so we know what numbers is what since we're not chinese 
"
4af327ad-3dd7-4f7b-921c-858b5bb43189," Myself, yeah, yeah, I'm y'all need me and Daniel. I love"," that's the 
"
88a59e03-7a3c-4eb3-86e2-58e1cd134f28, I loved oh," i loved oh 
"
6b1b6417-7f18-48c4-9336-4b0fd8a8acd2," How do you serve with the girl? Pass, girls. Pass, you might be following him."," how do you feel you right now 
"
b0c82f8c-10f4-4ac2-b0ad-17ac4a9be5a7, Ha!," huh 
"
a06abd70-4967-47c6-933e-185fb9076e57, Pass.," huh 
"
055771a1-d1e8-4e12-9dd6-187ad4006a90, No?," no 
"
e4d276d9-a641-4f44-8523-06a3bd7bb17b, gives me a chance to touch them.," gives me a chance to touch them 
"
87f59254-5f29-4a4c-bd0c-e346409ab0b2, I think that they're gonna be mad if we play any other like card games.," i think that they're gonna be mad if we play any other like card game 
"
ada109af-b984-45da-b30e-4cc0fbb4efa4, They might be mad if we play any other card games.," they might be mad if we play any other card game 
"
dc0d21fc-56a4-4be1-885f-731ce7004dd9, I hope it's time for one. We're going to have to play a different game.," no thought they said they wouldn't they want to play different games 
"
52d6be7c-fcf5-4cd6-a901-5cae93713a3c," No, he said he wants us to play this game."," no he said he wants us to play this game 
"
3375a843-9145-4d5b-8861-7777412fb43f, Attack!," like 
"
4cc21757-9a59-443e-82d7-58c4fcb7df18, Tax them!," text him 
"
0944e8c8-2330-4e59-b137-246a930ba281," I can't text him, I don't remember. Um, no, he wants us to play that game."," um i can't text him i don't have number mm no who wants us to play that game 
"
637c82ac-0a09-43dc-9601-cb4c64cccbd2," So, you know, save your jerks to a pound!"," so we got to play that game still 
"
35c1b58c-ea1d-48d9-95bf-0b5beaa79ea2, More Force.," four fours 
"
67beb418-714e-4a2a-b942-cc8db3e560d3, yeah baby Mac Just fuckin'," yeah you got that motherfucker 
"
01e9f044-936f-4b71-9f00-1713a45207a4, ...and worst laugh.," that one and five 
"
b84a99a4-8631-4110-bc8c-484062c54f09, You don't have to.," you don't have to wait 
"
94e47e2c-9128-42a5-93d6-e6187ef28a24, Because all my cards are true so no have to wait.," cause all my cards are true so you don't have to wait 
"
fad80778-1e4b-4b00-b546-f5c8f00cac73, How many fives is that?," how many fives is that 
"
ea668c44-c339-45f1-9275-df3ca79d9076,," one five 
"
04a8927e-f77c-48a3-9922-78121005d404, the purpose of it.," that kinda bullshit 
"
1eaf5628-ac52-4675-851b-4d54ffa6eb76, YMark!," damn it 
"
8f307e41-70ff-4021-906b-d913e9d3cb32," I don't know, I don't think we're both in."," i thought that was bullshit 
"
41d0afde-9c11-405c-8334-ebd9c6199868, I'm too sexist.," two sixes 
"
9083f402-b250-4726-82fb-0b918712c958, Very contrast.," there you go too 
"
da834477-def0-4b29-87a8-9ed51f0c2f2b,om Double throat," one seven 
"
2b31ca64-a309-4614-8edf-c7aed37cb7f5," Oh, I have another fucking summon! Shit!"," oh i have another fucking seven shit 
"
2553a355-7d00-4f93-b782-eb0978c4bcd6, Ready?," one eight 
"
df596428-5fce-412f-adcb-6b80e91eeb29, no or," have fun with that seven 
"
045eba0f-ac7f-4c67-8605-9ec2ebf0eff9, Orconf," four nines 
"
bbe8a28d-31c3-4b54-8934-e0bd4d4e15d1, Four Nines.," four nines 
"
6f379b15-6433-469d-aac3-3be105863806, Believe that.," believe that 
"
8caa4b7a-c813-4d8e-a154-b395c8060346, I knew it was wrong.," i knew it was wrong 
"
f9354e24-0e4c-42e0-a7d7-f423a0b69193, what is that know was," i know one ten 
"
7e6769f8-d15c-44ae-ad43-8d989dfd0629, Welcome.," one deck 
"
37377f6e-00fc-4705-9fe7-cbd4bff19d3f, Oh be this.," full bs 
"
5e5d32e9-5fa4-4fff-9f2b-f763b7af580a, and pork wings.," four queens 
"
17eb3c9d-1042-45e1-950d-d55cd757b75b, So pretty.," do i want some queens no i don't want king 
"
9f0ce8b4-b422-47f3-b004-d3c782d41692," It's right, really cool."," rightfully called 
"
88b994de-1926-4c2c-9ada-487c24b9d3d6, one two.," one two 
"
8d1be9b8-d3a1-4a1f-ae52-16fb0446a6bb, one two," one two 
"
8b99a9e7-f64d-4b4f-b1f8-93e6b9f1ca7a, Boss it. Take that out. Just skip your turn. Why? Just skip your turn. Just skip your turn. Just skip your turn. Just skip your turn. It's just... One more.," bullshit pick that outwhy i know i don't wanna skip my turn 
"
db894dc2-af31-4b6c-8ff6-bccf4d773fa6, Just skip your time.," just skip your turn 
"
16d2827f-6544-4974-b601-4fe355454177, You just hear me. I'm scared to start. I'm just scared to start. It's safe. It's just one more.," just skip your turn just skip your turn one four 
"
6bfa9ca8-0a7c-4cc4-9b74-edda9fdbd99a," One, four."," one four 
"
8c501d34-f279-4d07-85bf-9b3a574b19a8, BUSH IT!," bullshit 
"
fc4ffc65-5170-4bab-ad66-18e625a972ae, We're really cool. Let's do it.," rightfully called 
"
2d476ad3-59fe-4ce3-b39a-37c2d635d7d1, Three Fives.," three fives 
"
c6e48314-4cd6-46ab-a312-43ab8b87cbb4," Three fives? Three fives. I got six. One, six, yes!"," three fives three fives i got six two sixes 
"
06fb2e52-abe3-4866-9c48-e637676a0997, Coming.," how many 
"
14b411d3-a86e-4c5a-bd6c-e69012fdbde4, What makes me stop?," two sixes two six 
"
9de19778-6ed3-4c9c-bc21-d07a5c662e56," Oh, I thought you said fool."," oh oh oh i thought you said four 
"
54b36f88-84fa-407d-be41-43020097c629, You know the other two how you doing," you how're you doing 
"
0f777dc6-c238-4c63-a089-c673a8a41cbc," Now, this sound is your flip."," now savage me your 
"
ac65590d-1a12-41ec-a43c-f09542017185, WHEN I SH it is?!," four eights 
"
a2a301aa-ad8d-494e-a70a-458c82e6deea, bullshit," bullshit 
"
2953d0cd-e312-4eb6-88d0-3a290c88552a, you," this is bullying 
"
b7a7ca47-924b-4700-8161-eea4736ced16, ...and mistakes," i'm gonna put down those eights 
"
80d0e20c-347c-4d39-99a6-907172ba4dc5, His or the nine?," this isn't a nine 
"
313e27ab-cc52-49b9-8149-78139e1ea752, What a spin!," what 
"
6de75888-9205-4534-87d9-613ae20605ca," Be nice, yours isn't even a tin!"," what bullshit 
"
3d3d7c81-50f8-48c5-915e-d296a249dbd9," Yes, you're the Dema Tim!"," bs yours isn't even a ten 
"
b3f48076-f0d8-4209-8bc1-9ac3d0d76e60," Yo, you should done to that."," look at this cuz he had nine 
"
8d45b91f-aeb0-4a35-b2ae-d2db5858e113, We are eggs!," he had eight 
"
57a7ce1f-16b9-4060-a012-91e74b57abc7,," he had nine 
"
3c82b212-ca78-4648-8342-56c8baa097b3, Me," no i had seven 
"
d4dd7476-3ab7-4c3d-9258-9973e9c05e70," Oh, that's..."," eight 
"
f1904682-5b1f-4a6b-82ce-c22020e4807a," Yeah, no, bro. I thought I thought bullshit. Oh, yeah, I didn't notice"," no he had nine bruh that's why i called bullshit i had nines so how you gonna shut up and go shut up and go 
"
936d9606-fce7-4c0f-9b4b-f60cb0159df7, Oh yeah.," oh yeah 
"
f8af55bc-6a10-4084-a1d3-caae6d375246," Either way, either way, no either way! Pick it back up!"," either way either way no either way pick it back up 
"
87594a40-4803-438d-8c59-60e13cf09fc8," Well, I could not switch the damn car, I'd be silly. Mm-hmm. Hey."," you right cause i switched the damn card trying to be slick 
"
71b84f00-8305-4be1-b16f-608884354686, Ew.," ten 
"
de071a03-6dcc-4e93-aaaf-1959b0f98384, Or Jaxx.," four jacks 
"
1b08d4f6-a650-43d3-ac68-f12c8e795fa0, as," i just 
"
72903fbf-446a-4de2-8d05-513e471ee014, one for you," one queen 
"
f6547422-1355-4c63-89f8-3fd6e85d1020, Bullshit!," bullshit 
"
49a76e36-8573-45b9-9bf5-d27b8ea26dbb, playingley," bullshit 
"
56849c44-04e6-4b93-bbcb-7b92ccc67e1f,Battle party...," playing with me 
"
55549452-744c-42df-a568-daaf49192cd5, FUCKING B Rarea," four kings shit 
"
863db457-049f-4578-a771-527fae5ed5b7," You're not gonna go bullshit this time? You know what, I really don't want to."," four twos you're not gonna call bullshit this time 
"
0cf3210a-af61-40e2-8bcf-bfe6a03d372b,ifully over the cheers game.," four aces 
"
853cc70f-3cdd-4bb7-910f-223e35701827," You know what, I really don't want to."," you know what i really don't want to 
"
70be8389-925b-4d1c-9a3e-c2ea84c8acf8, Fuck these threes for threes," man fuck these threes fours 
"
4c2933ae-3301-4e00-9b70-71e5d79220b4, I was worried. Don't sit. Three points. We will.," bullshit hm bullshit three fives 
"
dbb3d50a-87a8-4d47-9105-33ccf34dd59d, Those words.," one four 
"
ca7dc40f-cf7f-408c-b065-10930dd91524," Luckily, we will call the Loschola Number aye."," i really wanna call bullshit on that but you're right 
"
a35bb968-a11a-42cc-a8b7-319d1a537340, The Lord God monitor this!," oh i got sixes 
"
73fef993-6152-4464-9fc5-97eab8a811ef, What's next?," one six 
"
3b625dc1-737b-481a-b41b-022ba03e26f2, Bullshit. Fit that up.," bullshit pick that up 
"
94efdda6-c134-4356-a3c2-2284a7331cb1, .," three sevens 
"
1ce66710-3ec5-428c-99a5-eefa56a3e57d, braised.," four eights 
"
f9f6bf5b-92bb-4fe6-a0b5-809e0e321858, We're East!," four eights 
"
2ab4d02d-787f-4bd8-851a-3837bf71e9f9, And now.," i know 
"
1ade9add-6c30-4861-959d-17a8426884f1, I mean fuck y'all," one time man fuck y'all 
"
30ae9e76-a01e-4c8d-88e7-a3cb78621455, Do Tins.," two tens 
"
cdd4b5af-259d-43d9-b7ac-967436cef0f5,oonchang.com," she got two tens all of y'all that's cool that's cool though you got it momma 
"
c113595c-1514-450f-b178-60bb5a280319, for a check.," four jacks 
"
c1bbf77c-9987-436c-a156-b0f5cd0e90e0, And I get it. Well.," hey man look 
"
29fba12e-fe1e-4616-824e-a6816b4b6af8," Please man, it's a good one."," i on the table 
"
6d67c8f7-11dd-41b7-8fc7-78c736e09a0b, Three Kings out.," three kings out
"
ea12b3ef-433a-4367-8ae6-7f6394eb2cbe, I hope it's a little bit funny. It is. He said it already.," it is he set it already 
"
ffc18049-61f4-4925-a87a-7de468a3c1f8, I hope that you will enjoy!," i hope this thing is recording 
"
66736941-b6d0-4bdc-80b3-152ef1b304c3," Whoever to whoever keeps messing up my rug. Okay, let's play."," whoever whoever keeps messing up my rug okay let's play 
"
f284e7ba-53b1-4641-bec7-e2ffc0c248bd, I get to go for another...," we can take 
"
dbc1a27d-a893-4fed-9806-65a02ebf80a4, Yeah.," yeah 
"
bdb4a87e-7449-4363-b9ab-0ef54117cd82, then ours loves!," and our gloves 
"
389d502b-8b71-4675-b7e8-8b1cb504fba7, Why is it making us sound?," why is it making that sound 
"
6d043477-381f-4e69-8707-6b6bc68d7d54," It's like, I think it's only on kicking pictures, right? Is it blinking? Yeah."," it's like i think it's in only on taking pictures mode is it blinking okay then i'm good 
"
db40fda2-ce16-48d1-aa5f-a7e8182f35f7, Yeah.," yeah 
"
1d22ffa5-f5bb-4f58-a466-b5ea864af573, Yeah.," uh-huh 
"
cbb3230e-6b1a-4bce-bfb5-87e8af22ce82, Thank you.," alright let's play 
"
c33f7f26-4aae-4bca-ae2b-93ecf4975232, find his falling down.," mine keeps falling down 
"
5014d1d5-0c6b-4483-a8cf-f2560dbf5501, I think we're putting the end.," i think we're playing bs 
"
8fd2cc9e-1537-4cf0-bd66-c0686f536a40," Yeah, we are."," yeah we are 
"
36463221-148a-4997-b326-1648cac12a2d, I'll shuffle.," i'll shuffle 
"
e03c10bf-cbee-4475-9076-8dc9e2ff8c8c, Okay then.," okay then 
"
08ac1c9c-4ed0-41fd-b6b2-48617b2a85f7, Looking down is very difficult for me. Do we get to keep the defocart?," looking down is very difficult for me do we get to keep the deck of cards 
"
3864f1a4-73cd-4788-8487-0b0f74a90d1c, No.," no 
"
1b4c48e8-7bce-40ab-b48c-cf557f0de161, Dan. Cause you're a brand new.," damn cuz these are brand new 
"
16ede5a0-ce44-4f8d-98a9-6a2589c0e9d1, What?," what 
"
2bff53a0-12c5-40c0-b612-11766ce6e4df," MDT one, Two"," gadgets for you you gat any more gadgets for me 
"
296ca6d7-04c9-4ba2-b261-0099cd194bc2, Okay.," huh 
"
d608b8ac-b014-4a44-9993-6e08f37d2852, Any more gadgets for you?," any more gadgets for you 
"
083c810a-2268-4ee2-9c83-ca9871b25f71," Hello. While we are the dealer, I consider our game session today. We are playing BS. Right?"," hello welcome to yes welcome to our game session today we're playing bs right 
"
23e8af2e-23a4-4dcc-95ee-ae891eaf1d73, Walk here as a dealer.," you're the dealer 
"
4dc430e1-3cf3-47de-badf-b602ac8a3db4," Yep, Blire, that's what it's called."," yup liar that's what it's called 
"
3877c025-e9c9-45df-85b0-096b89e040ce, This is your father with our Reagan earlier.," following just say yes 
"
f0ef89a1-4a8c-4593-a5ab-d871c4b911dd, Yeah.," yeah 
"
b5fb64c0-b155-4d62-8dce-8163d8fc833e, to have motor function exams.," i have motor functioning skills 
"
18d0f336-9623-40f0-9a29-d448cf8b9ade,," take the two jokers out 
"
f662fe80-f748-45dc-99d2-3477530a647c, This way.," it's already out 
"
bf7ea489-3d10-4970-8837-805f37a11fb3, I'm skilled at what I've been.," i'm skilled at what i do 
"
4159c1f2-8967-405a-9058-2847f44aafa2, You got a Joker?," if you get a joker 
"
f5d42f80-4b2d-409f-8ca4-7bdaadd8f4ff, I've hardened the dr Carry On with all ourselves," if i get a joker i'll at you 
"
a9c1aaca-d93b-49d0-b38e-20fd3094140c, Please stay in front of me.," please don't 
"
5a9708ad-0f45-4979-8d26-1188f4ece8d9, compared to," what the hell 
"
7bb90b92-0f21-458f-852d-94358bfa241e, hands from go to hell.," people go to hell 
"
d5c4e70d-988f-4b05-bfc9-7cf971772acc, The anniversary of the," he'll listen as i predicted 
"
965cef68-e8c7-4b9d-bc4a-1fe01c2debd7, Now you don't do it yourself.," no you don't deal yourself 
"
fa62932b-2f66-4ab5-9ac5-2a273be03268, time do You," yeah you do 
"
